job_posting_id,category,corporation,deadline,education,employmenttype,keyword,location,title,workexperience
1,ICT,"서울대학교 산학협력단","~06.02 (월)",학력무관,교육생(연수생),"빅데이터·AI(인공지능), ERP·시스템분석·설계, 데이터베이스·DBA, 금융사무·심사·추심, 투자·분석·증권·외환,","서울 관악구 외","제 11기 서울대학교 빅데이터 핀테크 AI 고급 전문가 과정",경력무관
2,ICT,"서울보증보험 (주)","~06.02 (월)",학력무관,계약직,"네트워크·서버·보안, 공무원·공직, 금융사무·심사·추심, 금융·보험영업, 투자·분석·증권·외환,","서울 종로구","2025 SGI서울보증 전문경력직 채용","경력 1년↑"
3,ICT,한국수자원공사,"~06.02 (월)",학력무관,인턴,"전산·IT기술지원, 일반사무·사무지원, 경영·기획·전략, 총무·법무·특허, 기계·금속·재료,",전국,"2025년 한국수자원공사 하반기 체험형 인턴 공개 채용",경력무관
4,ICT,한국표준협회,"~06.02 (월)",학력무관,계약직,"전산·IT기술지원, 일반사무·사무지원, 세무·회계, 경리, ERP·시스템분석·설계,","서울 강남구 외","2025년 2차 기간제 근로자 공개채용",경력무관
5,ICT,세종시문화관광재단,"~05.24 (토)",학력무관,"정규직 외","네트워크·서버·보안, 건축·공간·CAD·CAM디자인, 작가·문화·예술·창작, 방송제작·연출·촬영·기자, IT·문화·직업강사,",세종,"2025년 제4차 직원 채용 공고",경력무관
6,ICT,유한킴벌리(주),"~06.04 (수)",대졸↑,정규직,"통신·모바일, 가정서비스, 경영·기획·전략","서울 송파구","2025년 유한킴벌리 신입 수시 채용",신입
7,ICT,한국정보보호산업협회,"~05.27 (화)",학력무관,교육생(연수생),"네트워크·서버·보안, 빅데이터·AI(인공지능), 웹프로그래머","서울 용산구 외","[KISIA] 2025년도 정보보호 취업박람회",경력무관
8,ICT,대한상공회의소,"~05.30 (금)",학력무관,계약직,"멀티미디어(동영상·음향), 홍보·PR·전시·컨벤션, 일반사무·사무지원, 통신·모바일, 웹기획·웹마케팅·PM,","서울 중구","대한상공회의소 계약직 (APEC CEO SUMMIT 추진단) 모집 공고",경력무관
9,ICT,한국동서발전(주),"~06.01 (일)",학력무관,교육생(연수생),"소프트웨어·하드웨어, 원자력·우주·조선·철강, 바이오·식품공학, 연구원·연구개발, 임원·경영분석·컨설팅,","서울 외","2025년 한국동서발전 E-SPARK 창업지원 사업 예비창업자 모집",경력무관
10,ICT,(재)장애인기업종합지원센터,"~06.05 (목)",초대졸↑,정규직,"전산·IT기술지원, 일반사무·사무지원, 영업관리·영업지원","서울 영등포구","장애인기업종합지원센터 직원채용 공고(정규직 인력 채용)",경력무관
11,ICT,"(사) 한국계량측정협회","~05.30 (금)",고졸↑,교육생(연수생),"전산·IT기술지원, 전자·반도체, 기계·금속·재료, 전기·소방·설비, 전기·전자·통신기능,","서울 서초구 외","[취업지원/수당지급] 국가공인기관(시험/교정) 취업 희망 연수생 모집",경력무관
12,ICT,한국저작권보호원,"~06.02 (월)",학력무관,인턴,"전산·IT기술지원, 교직원, 공무원·공직","서울 마포구 외","2025년 상반기 직원(채용형 청년인턴) 채용 공고",경력무관
13,ICT,한국정보보호산업협회,"~05.27 (화)",학력무관,교육생(연수생),"네트워크·서버·보안, 빅데이터·AI(인공지능)","서울 용산구 외","[SeSAC 용산4기] AI를 활용한 보안전문가 양성과정 교육생 모집",경력무관
14,ICT,"삼성생명(주) 서초사옥",채용시,학력무관,위촉직,"웹기획·웹마케팅·PM, 경영·기획·전략, 임원·경영분석·컨설팅","서울 외","2025년 삼성생명 전략영업본부 수시채용","경력 15년↑"
15,ICT,초유,"~05.26 (월)",고졸,정규직,웹기획·웹마케팅·PM,"서울 금천구","[스타트업-신입.경력] 바이럴 마케팅 기반 종합 마케팅 업무",경력무관
16,ICT,에이치앤엠,"~06.21 (토)",고졸↑,"정규직 외","전산·IT기술지원, 네트워크·서버·보안","서울 강남구","[강남구/논현동]LG데이터센터 시스템관제 모니링 직원 채용","경력 1년↑"
17,ICT,유클리드소프트,"~05.31 (토)",학력무관,교육생(연수생),"웹프로그래머, 데이터베이스·DBA, 빅데이터·AI(인공지능), ERP·시스템분석·설계, 응용프로그래머","전국 외","[국비지원]ABC부트캠프 교육생 모집",경력무관
18,ICT,(주)하이웹넷,"~05.31 (토)",학력무관,정규직,웹디자인,"서울 성동구 외","[HIWEBNET] 웹 기반 모바일 플랫폼 디자이너 (UI / UX) 신입 · 경력 채용",신입/경력(3년↑)
19,ICT,"주식회사 이엔미디어",채용시,학력무관,정규직,"웹기획·웹마케팅·PM, 광고·광고기획(AE)","서울 강서구 외","네이버 공식파트너사 이엔미디어 광고관리 AM 경력직 채용","경력 3년↑"
20,ICT,LG이노텍(주),"~05.31 (토)",석사↑,정규직,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계","서울 강서구","[CTO부문] AI 응용솔루션 개발 경력사원 채용","경력 5년↑"
